minutes_year,conference,district,meeting,state,members_general,members_white,members_colored,members_indian,url
1773,NA,NA,New York,NA,180,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=13
1773,NA,NA,Philadelphia,NA,180,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=13
1773,NA,NA,New Jersey,NA,200,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=13
1773,NA,NA,Maryland,NA,500,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=13
1773,NA,NA,Virginia,NA,100,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=13
1774,NA,NA,New York,NA,222,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=14
1774,NA,NA,Philadelphia,NA,204,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=14
1774,NA,NA,New Jersey,NA,257,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=14
1774,NA,NA,Chester,NA,36,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=14
1774,NA,NA,Baltimore,NA,738,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=14
1774,NA,NA,Frederick,NA,175,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=14
1774,NA,NA,Norfolk,NA,73,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=14
1774,NA,NA,Brunswick,NA,218,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=14
1774,NA,NA,Kent,NA,150,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=14
1775,NA,NA,New York,NA,200,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=15
1775,NA,NA,Philadelphia,NA,190,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=15
1775,NA,NA,New Jersey,NA,300,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=15
1775,NA,NA,Chester,NA,74,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=15
1775,NA,NA,Kent,NA,253,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=15
1775,NA,NA,Baltimore,NA,840,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=15
1775,NA,NA,Frederick,NA,336,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=15
1775,NA,NA,Fairfax,NA,30,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=15
1775,NA,NA,Norfolk,NA,125,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=15
1775,NA,NA,Brunswick,NA,800,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=15
1776,NA,NA,New York,NA,132,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=15
1776,NA,NA,Philadelphia,NA,137,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=15
1776,NA,NA,New Jersey,NA,150,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=15
1776,NA,NA,Chester,NA,104,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=15
